user_id,avatar,screen_name,name,description,fan,validation,type,verified_reason,screen_name_trans,description_trans,verified_reason_trans
2150758415,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.1024/8031f80fly8hdw3sekcbrj20u00u0q94.jpg?KID=imgbed,tva&Expires=1710907503&ssig=nfaE4nqgM7",孤烟暮蝉,孤烟暮蝉,珍惜公知，远离未来！,7384271,True,Celebrities,互联网科技博主 头条文章作者,Lonely Smoke Dusk Cicada,Cherish public knowledge and stay away from the future!,Internet technology blogger headline author
2174585797,"https://tvax3.sinaimg.cn/crop.0.0.828.828.1024/819d8bc5ly8gg7hbr4hxyj20n00n077t.jpg?KID=imgbed,tva&Expires=1710907504&ssig=ATGy%2FYuiwG",王冰汝,王冰汝,在华盛顿的勤劳小蜜蜂，公号：冰汝看美国,5122350,True,Celebrities,驻美记者  2023微博年度新知博主,Wang Bingru,"The hardworking little bee in Washington, nicknamed Bing Ru, looks at America",2023 Weibo Annual New Knowledge Blogger by Resident Journalist in the United States
7561877537,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.1024/008fKRMJly8hmxoph3o2cj30u00u0grq.jpg?KID=imgbed,tva&Expires=1710908689&ssig=fyHLJmBnGU",Frankie126,Frankie126,英倫段子手、懷舊博主,155312,False,nan,nan,Frankie126,British comedian and nostalgic blogger,nan
6458177315,"https://tvax3.sinaimg.cn/crop.0.0.200.200.1024/00733QWfly8frgk50qs8dj305k05kaaf.jpg?KID=imgbed,tva&Expires=1710908690&ssig=auCsC5Moxi",华传媒,华传媒,《美国华人》公众号(ChineseAmericans) ——多视角观察和分析美国政治、经济和社会问题。,25588,True,Celebrities,头条文章作者,Hua Media,"Chinese Americans official account - multi perspective observation and analysis of American political, economic and social issues.",Headline article author
6327805071,"https://tvax2.sinaimg.cn/crop.0.0.953.953.1024/006UePa7ly8hk7iqjjw5rj30qh0qh768.jpg?KID=imgbed,tva&Expires=1710908691&ssig=MmQmXfIN7D",有用的神,有用的神,远东的情报站。,13,False,nan,nan,A useful god,An intelligence station in the Far East.,nan
3114175427,"https://tvax4.sinaimg.cn/crop.0.0.159.159.1024/003oKLhVly1h8vg9fogmcj604g04fmx302.jpg?KID=imgbed,tva&Expires=1710908692&ssig=m10qkFmg73",解放日报,解放日报,《解放日报》是中共上海市委机关报，创刊于1949年5月28日。其前身曾是延安时期中共中央机关报。作为上海新闻界的排头兵，《解放日报》是了解上海经济社会发展状况的“第一选择”。,3814603,True,Media,解放日报官方微博,Liberation Daily,"Liberation Daily is an official newspaper of the Shanghai Municipal Committee of the Communist Party of China, founded on May 28, 1949. Its predecessor was the official newspaper of the Central Committee of the Communist Party of China during the Yan'an period. As a pioneer in the Shanghai news industry, Liberation Daily is the ""first choice"" to understand the economic and social development status of Shanghai.",Official Weibo account of Liberation Daily
3844617568,"https://tvax3.sinaimg.cn/crop.0.0.968.968.1024/e5283560ly1h8vgb6sxgqj20qw0qw3zs.jpg?KID=imgbed,tva&Expires=1710908694&ssig=8UBoQgi9Fi",上观新闻,上观新闻,站上海，观天下 | 解放日报社出品，高端资讯品牌。 欢迎登入上观新闻网站（www.shobserver.com） 欢迎前往各大APP应用商店搜索并下载“上观新闻”APP， 微信公众号“上观新闻”同步推送每日热文,458196,True,Media,上观新闻官方微博,Watch news online,"Standing in Shanghai, Observing the World | Produced by Liberation Daily, a high-end information brand. Welcome to the website of Shangguan News (www.shopserver. com). Welcome to search and download the ""Shangguan News"" APP in major APP app stores. The ""Shangguan News"" on WeChat official account synchronously pushes the daily hot articles",Official Weibo account of Shangguan News
7038792573,"https://tvax4.sinaimg.cn/crop.0.0.360.360.1024/007Gm3utly8h6dla6lhn9j30a00a074k.jpg?KID=imgbed,tva&Expires=1710908695&ssig=aBeMFGZ0Bc",虚轴之庭,虚轴之庭,尝试创建人间天堂，最终只会创造出地狱。商业合作/加会员群（会员专属内容）请私信,332719,True,Celebrities,微博原创视频博主,Virtual Axis Court,"Attempting to create a paradise on earth will ultimately only create hell. Business cooperation/membership group addition (exclusive content for members), please send a private message",Weibo original video blogger
7780343210,"https://tvax3.sinaimg.cn/crop.0.0.600.600.1024/008uxwGCly8h9wq0cxijhj30go0gomxn.jpg?KID=imgbed,tva&Expires=1710908696&ssig=b9sdPm5XjN",美鸥阅读,美鸥阅读,每日精选美欧主流媒体头版,295422,True,Celebrities,军事博主,Meiou Reading,Daily Selected Mainstream Media Front Page in the United States and Europe,Military blogger
7514798679,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.1024/008czkqjly8hll9cc732hj30u00u0wh3.jpg?KID=imgbed,tva&Expires=1710908697&ssig=0aZVYd2o%2Fk",学姐财经,学姐财经,"资深证券分析师，玩股票十多年了，永远坚守价值投资,永远遵从价值投资是获利之本 个人突出特点：心理素质过硬，善于操作大波段的获利行情,价值选股",14417,True,Celebrities,超话粉丝大咖（张极超话） 微博剪辑视频博主,Senior Financial Officer,"Senior securities analyst, who has been playing with stocks for more than ten years, always sticks to value investment, and always follows value investment as the source of profit. Personal outstanding characteristics: excellent psychological quality, good at operating large band profit quotations, and value stock selection",Super talk fan influencer (Zhang Jichao) Weibo editing video blogger
7476360648,"https://tvax4.sinaimg.cn/crop.0.0.600.600.1024/0089Y2W4ly8hbp1i2mxtbj30go0go0un.jpg?KID=imgbed,tva&Expires=1710908698&ssig=dRZAjCGjqV",秋名山街猫,秋名山街猫,精彩纷至沓来！,20509,True,Celebrities,微博原创视频博主,Autumn Famous Mountain Street Cat,Excitement is pouring in!,Weibo original video blogger
6244553417,"https://tvax3.sinaimg.cn/crop.0.0.600.600.1024/006OBvBvly8hnhov86r12j30go0godg2.jpg?KID=imgbed,tva&Expires=1710908700&ssig=%2FrZ4tYjBOl",今日俄罗斯RT,今日俄罗斯RT,国际新闻频道,1876832,True,Media,RT官方微博,Today's Russian RT,International News Channel,RT Official Weibo
6899328635,"https://tvax4.sinaimg.cn/crop.0.0.600.600.1024/007wUSy7ly8hdz2u83jgrj30go0got9u.jpg?KID=imgbed,tva&Expires=1710908700&ssig=NCVjcmqMmt",表姐论市,表姐论市,只做强势品种和龙头个股，用趋势线判断股票的涨涨跌跌。,124084,True,Celebrities,财经博主 深圳市思多证券文化有限公司 经理,Cousin discusses the market,"Only focus on strong varieties and leading stocks, and use trend lines to determine the rise and fall of stocks.","Manager of Shenzhen Siduo Securities Culture Co., Ltd., a financial blogger"
2376534624,"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/8da70a60ly8gdjuxfdtmqj20e80e83yq.jpg?KID=imgbed,tva&Expires=1710908703&ssig=hABgC1i5jc",美东侨报,美东侨报,《侨报》（THE CHINA PRESS）是美国唯一一家以简体字印刷出版的华文日报。公众号：瞧纽约；官网：http://www.uschinapress.com/ 合作请联系：marketing@chinapress.net,2411672,True,Media,美国《侨报》官方微博,East American Overseas Chinese Newspaper,"The CHINA PRESS is the only Chinese language daily newspaper in the United States printed and published in simplified Chinese characters. Official account: Look at New York; Official website: http://www.uschinapress.com/ For cooperation, please contact: marketing@chinapress.net",Official Weibo account of Overseas Chinese News in the United States
1861477054,"https://tva1.sinaimg.cn/crop.0.12.640.640.1024/6ef3e2bejw8f9ochnml7ij20hs0igjsb.jpg?KID=imgbed,tva&Expires=1710908705&ssig=KTu%2Fl5RHdE",何天恩,何天恩,商务联系vx：hetianen003,2936054,True,Celebrities,财经博主,He Tian'en,Business Contact vx: haianen003,Financial blogger
2584551281,"https://tvax4.sinaimg.cn/crop.0.0.366.366.1024/9a0d1f71ly8hcjzgisuhuj20a60a60so.jpg?KID=imgbed,tva&Expires=1710908727&ssig=SBGoKEqAgv",毛开云623,毛开云623,第一、四届“五个一百”全国“百名网络正能量榜样”,53026,True,Celebrities,军事博主,Mao Kaiyun 623,"The first and fourth ""Five Centenaries"" national ""Top 100 Network Positive Energy Role Models""",Military blogger
1243037810,"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/4a174072ly8g1jy8ht88jj20e80e8ta5.jpg?KID=imgbed,tva&Expires=1710908728&ssig=Ya4Q9YmpSy",一和家家,一和家家,作家，新浪网十大财经名博，博客点击量2.5亿次，善于大势研判、交易数据解读、财报分析。,337405,True,Celebrities,投资内容创作者,Yihe Jiajia,"Writer, one of the top ten financial bloggers on Sina, with 250 million views on the blog. Skilled in analyzing trends, interpreting transaction data, and analyzing financial reports.",Investment content creator
1653460650,"https://tvax1.sinaimg.cn/crop.131.60.355.355.1024/001NTKEaly8h8vjy2a4n3j60hs0hsgme02.jpg?KID=imgbed,tva&Expires=1710908730&ssig=%2FkcVl%2B%2FqaQ",南方人物周刊,南方人物周刊,时代的肖像,12808727,True,Media,《南方人物周刊》官方微博,southern people weekly ,Portrait of the Era,Official Weibo account of Southern People Weekly
