user_id,screen_name,name,description,fan,validation,avatar,type
893780203,FlorenceProject,Florence Immigrant & Refugee Rights Project,"The Florence Project is a nonprofit organization providing free legal and social services to women, men, and unaccompanied children in immigration custody in AZ",10578,False,https://pbs.twimg.com/profile_images/1245127556870762496/V6L25vLH_normal.jpg,
1229147233318244354,tandavam2,tandavam,"Entrepreneur, startup Guru, Biker, Rabidly anti-fascist.",29,False,https://pbs.twimg.com/profile_images/1229148891255361540/S8FA2sia_normal.jpg,
1187108560683098116,Charles__Marino,Charles Marino,"CEO Sentinel Security | National Security News Analyst | Adjunct Professor, University of South Carolina",229,False,https://pbs.twimg.com/profile_images/1575545082937282577/Ee5bTEoT_normal.jpg,
3106296491,peaches10549,TxPeaches 🇺🇸on GETTR @TxPeaches,"Conservative, better future for country when we return to the Bible & Constitution, kick out all socialism efforts. MAGA🇺🇸 WV born/raised.Retired,moved to TX.",2027,False,https://pbs.twimg.com/profile_images/1218372379254063105/AKgc8SdC_normal.jpg,
1676700168,thedelphicfacto,Dale 4 🏹 Arrows No ⚖No ☮,🦜🐕 🐈 🐎 🌳💧✌🌎 ⚖ ✊#BLM/BanTrophyHunt/Ally🌈 Science#FreePalestine #FreeLeonardPeltier.EradicateCancer& WhtSupremacy&SchoolViolence/ Co- Exist 🫂,2535,False,https://pbs.twimg.com/profile_images/1528576744617279488/qF55VQXV_normal.jpg,
1402534728343777280,Sen10X,Sen,"Sen 的官方账号！
没有什么了",2,False,https://pbs.twimg.com/profile_images/1438117879153524737/oaYFp8hv_normal.jpg,
1286881192030027777,XiaoMin27496537,Wu Ming,无知的人容易被别有用心的人煽动，变成仇恨与暴力的机器,0,False,https://pbs.twimg.com/profile_images/1287182817747546116/Qy704cqj_normal.jpg,
1345201635312558080,MagaCopium,MAGA Copium,"Having trouble accepting @realDonaldTrump lost the election, & Joe Biden is your President? Ask your doctor if MAGA Copium is right for you! 1 pill, up your...",106,False,https://pbs.twimg.com/profile_images/1345203059664646144/66uoaEBA_normal.jpg,
3276863455,eight4878,nightshade,,479,False,https://pbs.twimg.com/profile_images/1554906139099164672/7fdCrw5U_normal.jpg,
58391096,merijoyce,Meri（メリ）,豪州出身、東京在住。国際NGO / 通訳。紛争予防/平和構築/核廃絶/東北アジア/社会/文学/美術 @peace_boat @gppacnea @nuclearban @koreapeacenow / interpreter. Tweets mostly in Japanese.  #нетвойне,2615,False,https://pbs.twimg.com/profile_images/903080978406457344/ze5cc0Ik_normal.jpg,
1417184190030925834,MusikLuver99,The Best Life,"Music, Sports and Comedy. Science believer. Springsteen. Original Twitter 2012. UF. Opinions are just that. Working on a Dream.",523,False,https://pbs.twimg.com/profile_images/1538960695022206978/u2RYKeHZ_normal.jpg,
774275234115362816,wallstreetttcom,rwinusa,,487,False,https://pbs.twimg.com/profile_images/1453136587093594114/IpQZh_MO_normal.jpg,
1555679626026164224,LOVE_LSDLSD,みずき,まともなツイは、彼が復活したらしまーす,3643,False,https://pbs.twimg.com/profile_images/1579033086217826304/P4WcUZ11_normal.png,
1383657169459892228,mesnickerlicker,Loki snowden,minty fresh is lit,388,False,https://pbs.twimg.com/profile_images/1535057623950696461/BSPNXbvP_normal.jpg,
121187107,busayman,malcolm u. e. stowe,,106,False,https://pbs.twimg.com/profile_images/1391550065811116034/khMFx81H_normal.jpg,
1404919406090543104,DGuillory10,Darwin was Right🇺🇦🇺🇸,"Good food, LSU football and fly fishing.  Ex Republican without a party.",27,False,https://pbs.twimg.com/profile_images/1494103297464016896/mrskm6Fw_normal.jpg,
30183291,evaradiochina,Εύα,Living in China tweeting in 5 languages   I follow back #art #culture #zen #travel #books #architecture More photos: https://t.co/Dg4O8tkQpn,11264,False,https://pbs.twimg.com/profile_images/688671221047660544/lQIbBJWt_normal.jpg,
791754195103776768,macLONER64,Michael C 🎶🏴‍☠️🔰,20 • He/They/She • Queer 🏳️‍🌈 • Autistic ∞ • ADHD 🦋 • Musician 🎹🎻 • Metalhead 🤘 • #YangGang 🧢 • @NJPirateParty 🏴‍☠️ • #FuckDepression 💚 • 💙💛,720,False,https://pbs.twimg.com/profile_images/1560488705449594880/jLULk6ZV_normal.png,
1313625932565946368,Un_De_Num,るいたす,街のはずれ　国道沿い,516,False,https://pbs.twimg.com/profile_images/1313627778080595969/p8b1pBSi_normal.jpg,
1520397230787731456,nexymomma,Nunya Bizness,#MyRightsDontEndWhereYourFeelingsBegin❣️🙌🏻 #GlitterandDirt #MomofBoth #ProudTrumpSupporter #4thewin #nodms!,37,False,https://pbs.twimg.com/profile_images/1527498143784394752/0MEFudha_normal.jpg,
759514362432331776,flamecrash3223,Joe Wiggins,,171,False,https://pbs.twimg.com/profile_images/886612439978180608/LgwyxT8i_normal.jpg,
866042857785769984,Liquidalgorithm,Loup Noir,Just #MAGA baby,3122,False,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,
18688771,JLiRD808,DankBrandon_FormerGOP 🙏🇺🇲🇺🇦,#DumpTrump & we can meet in the middle. 67% of INDEPENDENTS dont want Trump to run in 2024 & 90% of AMERICANS want STRICTER gun laws. Grad in Comm/Media/History,284,False,https://pbs.twimg.com/profile_images/1579576650928295936/Cm2cPHcd_normal.jpg,
150528873,quirkytwerp,Strawberry Girl🍓,"I feel trapped by domesticity. Eleutheromaniac at heart. Stop DMing me, especially when I just started following you! You will be blocked. #RESIST #BidenFan",3604,False,https://pbs.twimg.com/profile_images/1457064884919754754/_JTVRP0P_normal.jpg,
936616924259201024,JoongAngCN,韩国《中央日报》,非韩国中央日报中文网官方帐号。【韩国《中央日报》】推文均来自于中央日报中文网,643,False,https://pbs.twimg.com/profile_images/936621202205851648/lqwTpxN0_normal.jpg,
796826752471498754,74601indahouse,KK,"Life is good if you choose to see the good in life! Proud supporter of President Trump, OU Sooners and NASCAR.",1414,False,https://pbs.twimg.com/profile_images/1435290085751246851/9cNSfdKi_normal.jpg,
1174536623448567810,Just2BTruthful,🇺🇦 🌻 Joyful Re: Our Biden Presidency!,"Former Republican, changed to ""Independent"" due to near complete GOP corruption. GOP seems to be disconnected from reality, and has no actual platform.",736,False,https://pbs.twimg.com/profile_images/1196836459468279808/26UiYS4-_normal.jpg,
1550269080052961280,liberaltears73,Ms duff,"A nurse,wife, mom and realist",8,False,https://pbs.twimg.com/profile_images/1550269894544936961/N-NLZnZJ_normal.jpg,
768653466,MarkBrunowski,"Mark Brunowski - NOT my body, NOT my business!","I'm nice but stupid people keep f'ing that up by sending DMs!
#BLM #votingrights #resist #rockandroll #ukraine #womansrights #MAGAsucks • HEY STUPID, NO DMs!",2329,False,https://pbs.twimg.com/profile_images/1565937545984126977/A-Ur92cJ_normal.jpg,
1168658302751989763,Pepe_MAGA_anon,Arrest Fauci,"Proud unapologetic American |
Freedom Lover|
Floridian",324,False,https://pbs.twimg.com/profile_images/1401955884171939840/l8JEqUt9_normal.jpg,
1493725549574844421,Olivia06433111,Oliviabhumane,Animals are angels here to teach us how to be human,329,False,https://pbs.twimg.com/profile_images/1510869889766019074/bMN5m7C9_normal.jpg,
12369282,AnjelBHartwell,Anjel B Hartwell,"Int'l Apple #1 Podcast Host, International Speaker, Award Winning Visionary Entrepreneur, #1 Author, Creative Age Leader, Transformation Artist, Spiritual Babe",4290,False,https://pbs.twimg.com/profile_images/1484353199330902025/gEWGOsU4_normal.jpg,
717699761537736706,alpacapresident,Emy 🦇🖤,state mandated comedic relief ♡ meme enthusiast ♡ lover of all lizards in the world,312,False,https://pbs.twimg.com/profile_images/1567191064720674816/B4mpPA1H_normal.jpg,
1060453185196830720,thrashwolf22,chet manly,Idk,159,False,https://pbs.twimg.com/profile_images/1350498938919464962/UmmAbsjG_normal.jpg,
1257089516202065920,jdwebs2,jdwebs,MAGA FORCE 💥💥💥,1003,False,https://pbs.twimg.com/profile_images/1491533778556235780/KGzM_uJM_normal.jpg,
1524926357788041221,MelodyZare,Melody Zare,Mom of 5.Texas Born.Talent Mgr. 1st gen.Persian American.2nd gen.UTexasGrad.Our Children are the legacy for the future. For a better future we need to innovate.,6,False,https://pbs.twimg.com/profile_images/1570581842591375361/L3KnphL3_normal.jpg,
716349231510994944,MauraMcC127,Maura McCormick,"Cold War US Army Veteran. French Commando. Polyglot. Writer. Mom. OSINT Analyst Russian Federation. If I can learn from you, I'll probably like you.",297,False,https://pbs.twimg.com/profile_images/839926332309905408/WtHNjqaF_normal.jpg,
25436792,Carlynn12,Blue Olive,"Atticus Finch is one of my favorite people ever. Living, dead or fiction. Being good, kind and compassionate matters.  #voteblue #vaccinated #Biden💙",1246,False,https://pbs.twimg.com/profile_images/1015362774/me_normal.jpg,
1318315317869694976,methheadenergy,methheadenergy,🇬🇷☦️ | My opinion = law🥶⚖️👨‍⚖️| Never taken an L ❌🧢 |11 years old and richer than you💸🤑| Block me=I own u and ur family🤷‍♂️ | Never lost a ratio🤣👎,96,False,https://pbs.twimg.com/profile_images/1481825951130423296/9cqBdYSR_normal.jpg,
69665059,thomaso1888,tom bell,,2593,False,https://pbs.twimg.com/profile_images/834122005133692928/39ArokqI_normal.jpg,
1420432459229978636,lorelei1950,Night owl 9836🌊🇺🇸💙🌊,"Live a life that matters . Live it with Love. BLUE VOICE Liberal Democrat @ Retired RN. RESIST! 🌊# nature,  No DM's.

 #Environment 🌱🌿🍃& animal advocate. 🐾",20051,False,https://pbs.twimg.com/profile_images/1510409338359271432/4vCt2nHE_normal.jpg,
1006741406474473473,MagaMohamed9,TITA 225 🇨🇮🇳🇪,"Team 225🇨🇮
Team 227 🇳🇪
Un Jour Peut Être Ils Deviendront Comme Les Autres Mais Actu Ce sont les meilleurs 🇨🇮
Jeune Ivoirien Entrepreneur ☻💥",236,False,https://pbs.twimg.com/profile_images/1473804404201504774/ldcdqViB_normal.jpg,
1969174938,robronjohn,rob johnson,Economist,193,False,https://pbs.twimg.com/profile_images/934946046773485568/MAAKn81L_normal.jpg,
893807191563661312,MausmeisterBen,Ben 🇪🇺,,220,False,https://pbs.twimg.com/profile_images/1516817061292478477/AHC84UNW_normal.jpg,
1544039089783115779,TheSpiritof1876,Gig Em Ags,"Aggie class of 2017, Conservative, Christian, Texas forever",10,False,https://pbs.twimg.com/profile_images/1544040488637956096/SFsgEaea_normal.jpg,
24631305,ilhousegop,ILHouseGOP,The official account for the Illinois House Republicans. #twill,16963,False,https://pbs.twimg.com/profile_images/1213157132113190917/WDxCE70n_normal.jpg,
1105572067347304448,grace_eliz1,grace (vote yes on 305✨),"Motherhood, bikes, mountains, abolition. Moving @beyondcoal w @sierraclub. Building people power w @renew__us. Proud union @pwgcolorado. she/her. views my own",1326,False,https://pbs.twimg.com/profile_images/1562498590278184960/fU1O1nZj_normal.jpg,
3020869961,daboys5273,Tony 334562,Proud husband Father Retired LEO Conservative No patience for stupidity #Family #Maga #BackTheBlue #SupportOurTroops #deplorable #NRA 🚫Trains/DMS #FJB,1134,False,https://pbs.twimg.com/profile_images/1516982880022446081/omM_dVFa_normal.jpg,
958671432531275776,Poletico_News,Poletico 🇺🇸🇬🇧,Power to the people 🦅🗽,90,False,https://pbs.twimg.com/profile_images/1587453113396781057/yaCMQVU0_normal.jpg,
256163301,DaveThomas5150,Dave Thomas,"@Reuters/@ReutersLegal/@WestlawToday reporter covering the business of law. d(dot)thomas(at)tr(dot)com, 646-823-0937. RTs not endorsements. DM for Signal",2586,False,https://pbs.twimg.com/profile_images/1545473301660803073/ALO12XKd_normal.jpg,
